176	1	S0176L01	t	A	ඔහුගෙන්	him	9f673645-764f-4ff8-9f5b-27062dc7646f	0b2bba46-1f03-4ceb-b1d2-742609a72068
176	2	S0176L02	t	M	ඔහුට පුළුවන්ද	he'll be able to	33883ef8-1422-43cb-b2fd-7200b4640417	eec3c9cb-91d7-4801-bde0-353fefcfec2c
176	3	S0176L03	t	M	ලබන අවුරුද්දේ	next year	f17e3e4d-bb69-4df8-bb5c-138c9f153e17	be0a9b05-93b9-4c31-8431-e211d4c4e2da
177	1	S0177L01	t	M	ඇයගෙන් අහනවා	I'll ask her	990aca75-6586-477d-a4de-786c1fcaea3a	ff905757-aa4d-4a40-9c4a-ac10e7e0bc46
366	1	S0366L01	t	A	වවන්නයි	to grow	fdb7b619-44e8-470b-8920-a96b13df9cc4	c0f07c86-4573-47c0-a81f-92700370d496
366	2	S0366L02	t	M	ඔහු ... ඕනේ කළේ	he wanted to	d3bf0618-ebea-4dc4-8aff-91d63997d3ae	d556aaa0-e667-4cf0-b9e0-02a4b1cd937e
366	3	S0366L03	t	M	ඔයා ... ඇහුවාද	did you hear	9df6163f-c6e1-4721-aad4-7d638720b6d3	2c803347-8754-4710-92f3-96f2f73b77ba
380	1	S0380L01	t	M	ඇතුළු කරන්නට	to include	406f9128-d8b4-42d1-9a0a-037d6ad68eaa	d8406136-75ef-4800-b792-cb4c381b4a62
380	2	S0380L02	f	M	ඇය ... ඕනේ කළේ	she wanted to	df462b1f-4452-49b1-9dbf-c728e165e94b	\N
380	3	S0380L03	t	M	මොකක්ද කියලා මම ඇහුවා	I asked what	ea266345-2f93-4ae4-b0d9-f02d2f6456b2	d4130d95-307d-4743-998e-cb23294d5975
381	1	S0381L01	t	M	අපිව ගෙන ආවොත්	to follow us	bef05ee8-67d7-4932-bce2-13eaeb405ffe	48668c58-545b-4516-9b4b-9f396f720c40
381	2	S0381L02	t	M	ඔහු ... ඕනේ කළාද	he wanted	5b899e01-1d30-47fb-ad94-f91bbe27f2cb	0543a1ae-beb7-4f5d-a1f6-bc3c33b535c3
381	3	S0381L03	t	M	කියලා මම ඇහුවේ නෑ	I didn't hear if	325026a9-0921-4b3d-9c67-54a112d8eaa4	6e5ae983-b283-4ffc-9cd7-4ce7b6dc141d
382	1	S0382L01	t	M	ඒ දාන්නයි	to put that	0ee9b91a-fcf8-4e0d-b41f-923a82ead0d5	7a4e1392-1de8-4dd7-90a2-29789d51c4cc
382	2	S0382L02	f	M	ඔහු ... ඕනේ කළේ	he wanted to	d3bf0618-ebea-4dc4-8aff-91d63997d3ae	\N
382	3	S0382L03	t	A	කොහෙද	where	5a41eed6-95fa-42ce-a0a3-da9720563086	7d16ccc1-400c-43ee-91bb-cb85da931e9b
382	4	S0382L04	f	M	ඔයා ... ඇහුවාද	did you hear	9df6163f-c6e1-4721-aad4-7d638720b6d3	\N
415	1	S0415L01	f	A	ප්‍රශ්නයක්	problem	05871f86-531e-46f4-aaf1-b1675c8cf3fd	\N
415	2	S0415L02	t	M	ඒ ප්‍රශ්නයක් නෙමෙයි	that's not a problem	1909fc5a-862d-4448-92c7-f12873a2ae0a	a04fee0e-12c8-4a7f-b1dd-02b8db73ff68
415	3	S0415L03	t	M	මාව ලවා ඇහුවොත්	if you ask me	ca58f18c-6681-44e0-9edd-efa4466530f3	27eca252-4af1-4219-a875-c7d74c713e3a
465	1	S0465L01	t	M	ඊළඟ සැරේ	next time	3cd54b1f-a451-4366-b6ae-e3e94f36fffa	28e8881b-03e1-4631-a3f0-ac51db3f1dba
465	2	S0465L02	t	M	ඇගේ නම මොකක්ද කිව්ව	what her name was	51310436-68ff-444f-9029-e3f9d3e64566	e081796f-64fc-49d7-b8e2-4fe4b8227012
465	3	S0465L03	t	M	මම ... අහනවා	I'll ask	1535032d-d3f0-4e6e-ac68-6509e71aa840	32cd59b2-e1c5-4b10-85d6-51b86df13fa5
