eng_for_hin:S0016L04B01	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04B02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04B03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04U01	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04U04	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0016L04U05	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0017L01U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0017L02U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0017L03U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0017L04B01	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04B02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04B03	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04U01	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04U03	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04U04	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0017L04U05	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0018L01U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0018L01U04	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0018L02U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0018L02U04	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0018L03U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0018L03U04	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0019L01B02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0019L01U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0019L02U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0019L02U05	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0020L01C01	AMBIGUOUS	his	her	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01B01	AMBIGUOUS	to learn his name	to learn her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01B02	AMBIGUOUS	to find out his name	to find out her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01B03	AMBIGUOUS	to remember his name	to remember her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01U01	AMBIGUOUS	I want to find out his name	I want to find out her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01U02	AMBIGUOUS	she wants to learn his name	she wants to learn her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01U03	AMBIGUOUS	we want to find out his name	we want to find out her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01U04	AMBIGUOUS	I'm trying to remember his name	I'm trying to remember her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L01U05	AMBIGUOUS	I'm not sure if I can remember his name	I'm not sure if I can remember her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L02B03	AMBIGUOUS	to learn his name quickly	to learn her name quickly	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L02U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0020L02U04	AMBIGUOUS	I want to remember his name quickly	I want to remember her name quickly	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L03B02	AMBIGUOUS	you want to learn his name	you want to learn her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0020L03U01	AMBIGUOUS	you want to learn his name quickly	you want to learn her name quickly	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03C01	AMBIGUOUS	his	her	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03B01	AMBIGUOUS	to find out his name quickly	to find out her name quickly	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03B02	AMBIGUOUS	I can remember his name	I can remember her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03B03	AMBIGUOUS	to say his name	to say her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03U01	AMBIGUOUS	I'd like to find out his name	I'd like to find out her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03U02	AMBIGUOUS	why do you want to find out his name?	why do you want to find out her name?	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03U03	AMBIGUOUS	she wants to find out his name today	she wants to find out her name today	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03U04	AMBIGUOUS	we want to learn his name quickly	we want to learn her name quickly	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0021L03U05	AMBIGUOUS	I want to learn his name with you	I want to learn her name with you	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0022L01U05	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0022L02U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0022L03U01	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0023L01U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0023L01U05	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0023L02U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0024L01U04	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0024L02U01	AMBIGUOUS	I'm not going to be able to remember his name tomorrow	I'm not going to be able to remember her name tomorrow	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0024L02U04	AMBIGUOUS	I'm not going to be able to remember his name this evening	I'm not going to be able to remember her name this evening	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0025L02U04	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0026L01U05	AMBIGUOUS	I like feeling as if I can remember his name	I like feeling as if I can remember her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0027L03U03	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0028L03U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0029L02U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0029L03U05	AMBIGUOUS	I want to remember his name as soon as I can	I want to remember her name as soon as I can	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0030L01U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0030L03U03	AMBIGUOUS	I wanted to remember his name yesterday	I wanted to remember her name yesterday	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0031L01U02	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0032L01U01	DETERMINED			चाहती fixes वह feminine
eng_for_hin:S0033L01B03	AMBIGUOUS	how long have you been learning his name	how long have you been learning her name	उसका/उसकी possessive, owner unmarked
eng_for_hin:S0034L01B01	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01B02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01B03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01U01	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01U02	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01U03	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01U04	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L01U05	DETERMINED			चाहता fixes वह masculine
eng_for_hin:S0034L02U01	DETERMINED			चाहता fixes वह masculine
